Stu_ID,grade,class,gender,Math,English,Science,Marketing,Writing
10214,1,B,M,49,93,46,64,60
10215,1,B,M,80,77,69,41,45
10216,1,B,F,80,40,72,43,5
10217,1,B,F,80,60,70,90,71
10218,1,B,M,80,35,68,68,66
10219,1,B,F,78,74,67,61,36
10220,1,B,M,77,76,67,50,61
10221,1,B,F,89,73,78,68,85
10222,1,B,F,69,40,61,71,61
10223,1,B,F,59,36,53,74,44
10224,1,B,F,75,79,67,27,93
10225,1,B,F,85,31,72,76,58
10226,1,B,F,50,38,46,28,55
10227,1,B,M,29,94,28,77,62
10228,1,B,F,97,40,84,95,82
10229,1,B,M,81,57,70,38,98
10230,1,B,F,98,35,86,34,77
10231,1,B,F,85,28,73,39,66
10232,1,B,F,84,46,75,55,57
10233,1,B,M,50,99,46,83,83
10234,1,B,F,41,27,38,83,60
10235,1,B,F,28,88,26,83,31
10236,1,B,F,51,36,45,43,58
10237,1,B,M,82,97,70,87,92
10238,1,B,F,87,63,75,50,92
10239,1,B,F,27,26,27,55,34
10240,1,B,M,33,34,31,100,28
10301,1,C,M,48,36,43,69,25
10302,1,C,F,65,47,56,48,99
10303,1,C,F,65,64,58,75,62
10304,1,C,M,62,40,55,58,45
10305,1,C,F,79,84,68,47,89
10306,1,C,M,35,97,33,77,81
10307,1,C,F,37,79,32,68,29
10308,1,C,M,98,74,82,48,87
10309,1,C,M,30,60,27,94,81
10310,1,C,F,27,29,28,61,91
10311,1,C,M,79,42,69,69,68
10312,1,C,F,81,56,70,86,60
10313,1,C,F,49,89,43,73,83
10314,1,C,M,96,52,83,58,35
10315,1,C,F,97,82,84,41,50
10316,1,C,M,10,37,71,75,63
10317,1,C,F,67,86,59,85,96
10318,1,C,F,74,37,63,82,64
10319,1,C,M,48,71,43,47,67
10320,1,C,F,41,35,38,42,50
10321,1,C,F,84,72,73,71,88
10322,1,C,F,42,44,37,71,35
10323,1,C,M,82,72,71,38,55
10324,1,C,F,34,32,31,56,4
10325,1,C,F,62,86,55,26,49
10326,1,C,F,56,59,50,31,100
10327,1,C,F,27,41,25,87,28
10328,1,C,F,75,73,65,45,71
10329,1,C,M,78,77,67,29,72
10330,1,C,F,42,63,37,74,65
10331,1,C,F,73,49,64,37,59
10332,1,C,M,93,75,80,100,76
10333,1,C,F,37,65,35,88,91
10334,1,C,F,100,48,87,91,41
10335,1,C,M,92,69,77,82,62
10336,1,C,F,91,27,78,74,91
10337,1,C,F,71,64,62,30,31
10338,1,C,M,69,75,61,98,46
10339,1,C,M,68,53,59,72,94
10340,1,C,F,50,99,43,74,75
10401,1,D,F,31,51,31,96,28
10402,1,D,M,27,51,100,73,83
10403,1,D,F,56,38,50,57,61
10404,1,D,F,72,44,63,60,74
10405,1,D,M,81,57,70,74,34
10406,1,D,M,96,95,82,100,51
10407,1,D,M,80,90,69,99,51
10408,1,D,F,88,54,76,64,94
10409,1,D,F,29,62,29,50,99
10410,1,D,M,89,89,76,97,46
10411,1,D,M,77,91,66,48,62
10412,1,D,F,81,67,72,40,78
10413,1,D,M,99,49,86,86,87
10414,1,D,M,89,70,76,67,43
10415,1,D,F,59,74,50,80,40
10416,1,D,M,38,99,36,85,91
10417,1,D,M,54,57,47,36,52
10418,1,D,F,53,34,48,99,53
10419,1,D,F,84,77,72,42,59
10420,1,D,F,55,91,49,94,90
10421,1,D,M,60,41,54,42,75
10422,1,D,M,65,40,59,97,67
10423,1,D,M,60,90,52,84,79
10424,1,D,M,100,35,87,98,33
10425,1,D,F,84,41,73,44,65
10426,1,D,M,83,69,72,79,51
10427,1,D,F,82,27,71,83,44
10428,1,D,M,98,98,85,38,55
10429,1,D,F,72,58,63,79,59
10430,1,D,F,73,57,61,60,82
10431,1,D,F,69,37,59,68,55
10432,1,D,M,81,84,100,89,80
10433,1,D,M,62,32,55,40,82
10434,1,D,M,49,47,44,33,25
10435,1,D,F,76,36,66,72,67
10436,1,D,F,60,37,52,77,84
10437,1,D,F,42,35,39,46,82
10438,1,D,M,93,32,81,98,67
10439,1,D,M,45,74,40,95,73
10440,1,D,F,61,32,55,76,74
10501,1,E,M,55,70,49,44,89
10502,1,E,M,98,72,84,69,29
10503,1,E,F,79,75,68,61,49
10504,1,E,F,76,94,66,31,49
10505,1,E,F,100,59,85,86,90
10506,1,E,F,41,41,36,38,94
10507,1,E,F,100,38,87,53,68
10508,1,E,F,44,70,41,25,93
10509,1,E,M,98,90,84,36,67
10510,1,E,F,46,66,40,71,60
10511,1,E,M,89,41,77,36,50
10512,1,E,F,55,50,47,75,71
10513,1,E,M,33,79,30,95,33
10514,1,E,F,47,30,42,50,86
10515,1,E,M,74,37,64,95,90
10516,1,E,M,80,75,71,29,40
10517,1,E,F,68,33,60,39,59
10518,1,E,M,86,33,75,28,32
10519,1,E,M,35,28,100,35,88
10520,1,E,M,84,72,73,33,86
10521,1,E,M,83,59,71,50,87
10522,1,E,M,31,27,30,98,35
10523,1,E,M,35,49,32,53,51
10524,1,E,M,61,91,53,26,30
10525,1,E,F,100,51,86,58,60
10526,1,E,F,93,82,81,76,73
10527,1,E,F,29,41,26,76,33
10528,1,E,F,37,88,33,29,82
10529,1,E,F,96,90,82,46,61
10530,1,E,M,27,97,25,72,91
10531,1,E,F,55,82,47,83,91
10532,1,E,M,31,36,27,32,40
10533,1,E,M,96,94,84,52,30
10534,1,E,F,91,76,79,100,94
10535,1,E,F,98,99,84,76,75
10536,1,E,M,61,62,53,70,81
10537,1,E,M,59,47,52,73,70
10538,1,E,F,67,77,59,100,94
10539,1,E,F,64,62,55,37,99
10540,1,E,F,99,36,85,56,94
20101,2,A,M,57,68,100,88,40
20102,2,A,F,94,33,83,44,90
20103,2,A,M,75,73,100,37,85
20104,2,A,M,73,85,64,39,65
20105,2,A,F,64,26,57,64,72
20106,2,A,F,26,65,24,63,87
20107,2,A,M,57,54,52,72,53
20108,2,A,M,83,34,72,81,63
20109,2,A,M,50,26,44,38,99
20110,2,A,F,0,44,52,94,38
20111,2,A,M,43,97,38,89,68
20112,2,A,M,46,58,42,73,30
20113,2,A,M,28,79,26,57,63
20114,2,A,F,81,40,69,87,81
20115,2,A,F,89,87,77,37,100
20116,2,A,F,56,70,50,51,45
20117,2,A,F,72,76,64,38,74
20118,2,A,M,40,45,38,84,39
20119,2,A,F,49,96,44,84,63
20120,2,A,F,31,59,28,75,52
20121,2,A,M,60,54,52,82,48
20122,2,A,M,0,87,72,53,47
20123,2,A,M,36,51,34,84,51
20124,2,A,M,43,48,38,43,83
20125,2,A,F,77,52,67,75,83
20126,2,A,M,71,38,63,38,54
20127,2,A,F,86,83,75,87,76
20128,2,A,F,44,78,41,51,56
20129,2,A,M,72,31,63,59,35
20130,2,A,M,46,89,42,97,52
20131,2,A,F,84,76,73,49,78
20132,2,A,F,64,67,57,32,58
20133,2,A,M,45,76,39,100,73
20134,2,A,M,69,65,60,71,77
20135,2,A,F,35,99,31,53,47
20136,2,A,M,38,51,34,26,72
20137,2,A,F,63,27,55,59,78
20138,2,A,F,32,35,28,81,26
20139,2,A,F,86,86,76,92,97
20140,2,A,M,74,74,64,59,26
20201,2,B,M,42,72,40,70,96
20202,2,B,F,72,38,63,100,95
20203,2,B,M,93,61,81,46,49
20204,2,B,F,25,84,23,99,100
20205,2,B,M,81,40,71,46,49
20206,2,B,M,48,78,43,69,32
20207,2,B,M,82,76,72,84,74
20208,2,B,F,67,30,59,44,58
20209,2,B,F,98,56,86,86,38
20210,2,B,F,32,42,29,42,52
20211,2,B,F,50,66,43,95,82
20212,2,B,F,54,25,49,96,63
20213,2,B,M,88,64,78,73,56
20214,2,B,M,40,86,36,65,63
20215,2,B,M,41,67,37,82,51
20216,2,B,F,50,68,46,29,86
20217,2,B,M,33,61,32,32,100
20218,2,B,M,85,64,73,82,95
20219,2,B,F,57,82,50,94,47
20220,2,B,M,80,79,69,83,68
20221,2,B,F,58,40,51,70,73
20222,2,B,M,44,45,38,53,70
20223,2,B,F,82,60,72,65,51
20224,2,B,F,45,62,41,44,54
20225,2,B,M,0,77,43,38,98
20226,2,B,M,94,62,80,82,73
20227,2,B,F,89,96,77,77,34
20228,2,B,M,99,33,86,68,93
20229,2,B,F,97,29,84,54,71
20230,2,B,F,100,40,84,29,71
20231,2,B,F,57,29,51,78,46
20232,2,B,M,80,61,71,36,98
20233,2,B,M,55,28,50,95,99
20234,2,B,F,26,55,24,95,80
20235,2,B,M,39,40,35,25,73
20236,2,B,M,61,58,53,57,37
20237,2,B,M,73,47,64,52,97
20238,2,B,M,82,98,71,53,75
20239,2,B,F,77,71,69,85,46
20240,2,B,M,56,83,50,80,92
20301,2,C,F,93,81,79,99,73
20302,2,C,M,33,98,31,68,72
20303,2,C,F,63,82,56,70,62
20304,2,C,M,57,89,53,25,47
20305,2,C,F,41,95,38,76,26
20306,2,C,M,55,56,50,57,39
20307,2,C,M,95,97,82,58,91
20308,2,C,F,99,80,85,46,34
20309,2,C,M,93,81,82,92,40
20310,2,C,M,27,75,25,93,60
20311,2,C,M,57,94,51,66,67
20312,2,C,M,75,67,67,42,31
20313,2,C,M,100,98,100,61,40
20314,2,C,M,91,82,80,97,31
20315,2,C,M,37,76,34,73,78
20316,2,C,M,32,28,32,25,95
20317,2,C,M,82,56,72,92,42
20318,2,C,F,33,62,30,39,84
20319,2,C,M,64,55,54,80,52
20320,2,C,M,100,66,87,47,25
20321,2,C,M,36,56,32,84,53
20322,2,C,F,65,71,57,70,68
20323,2,C,M,88,65,77,92,72
20324,2,C,F,32,77,30,62,77
20325,2,C,M,30,64,27,95,94
20326,2,C,F,30,32,29,82,57
20327,2,C,M,0,97,35,95,73
20328,2,C,M,34,53,81,28,100
20329,2,C,M,0,88,60,78,76
20330,2,C,F,45,53,40,65,31
20331,2,C,M,67,28,58,33,81
20332,2,C,M,62,44,55,81,61
20333,2,C,M,79,93,69,41,67
20334,2,C,F,97,71,85,75,70
20335,2,C,M,48,67,44,53,36
20336,2,C,F,52,85,47,92,48
20337,2,C,F,72,81,63,50,65
20338,2,C,F,81,95,71,94,29
20339,2,C,F,44,72,41,79,92
20340,2,C,M,36,71,34,49,57
20401,2,D,M,68,61,59,56,92
20402,2,D,F,69,85,61,62,100
20403,2,D,M,90,83,77,73,87
20404,2,D,M,83,68,71,34,80
20405,2,D,M,100,85,87,59,63
20406,2,D,M,69,65,61,49,98
20407,2,D,F,63,85,56,62,88
20408,2,D,M,85,48,74,94,93
20409,2,D,M,74,62,63,51,82
20410,2,D,F,100,27,86,36,61
20411,2,D,M,86,80,76,71,56
20412,2,D,F,78,86,67,97,47
20413,2,D,M,27,62,27,38,53
20414,2,D,M,0,51,36,57,66
20415,2,D,M,36,66,100,77,39
20416,2,D,F,59,38,52,83,29
20417,2,D,M,94,29,82,80,40
20418,2,D,F,27,82,25,42,93
20419,2,D,F,85,50,76,29,76
20420,2,D,F,40,42,36,46,66
20421,2,D,M,0,74,66,39,81
20422,2,D,M,26,94,24,45,93
20423,2,D,M,38,76,36,65,25
20424,2,D,F,57,85,51,75,62
20425,2,D,F,69,60,61,60,93
20426,2,D,M,0,35,41,81,96
20427,2,D,F,27,52,24,82,31
20428,2,D,M,63,70,54,48,94
20429,2,D,F,100,33,88,96,54
20430,2,D,M,41,99,37,67,68
20431,2,D,M,75,85,66,29,93
20432,2,D,F,74,27,63,89,40
20433,2,D,F,92,49,79,86,70
20434,2,D,M,94,38,81,54,69
20435,2,D,F,59,99,52,32,40
20436,2,D,M,48,73,44,25,94
20437,2,D,F,70,66,61,25,56
20438,2,D,F,67,52,59,28,97
20439,2,D,F,27,25,27,100,41
20440,2,D,F,95,60,81,99,62
20501,2,E,M,38,58,35,40,99
20502,2,E,F,50,94,45,64,100
20503,2,E,M,65,86,57,87,52
20504,2,E,M,92,50,80,100,87
20505,2,E,M,94,58,82,97,52
20506,2,E,F,99,84,86,81,60
20507,2,E,M,80,76,70,70,27
20508,2,E,F,66,88,59,98,71
20509,2,E,M,0,85,41,61,96
20510,2,E,F,67,56,59,87,54
20511,2,E,M,0,90,69,93,68
20512,2,E,F,97,64,85,93,35
20513,2,E,M,69,50,61,83,42
20514,2,E,M,48,68,43,74,65
20515,2,E,F,63,87,58,87,25
20516,2,E,F,34,52,31,97,56
20517,2,E,F,32,46,30,68,51
20518,2,E,F,61,86,54,51,99
20519,2,E,F,45,30,41,82,77
20520,2,E,M,69,96,59,93,86
20521,2,E,M,47,56,42,94,32
20522,2,E,M,48,71,43,89,60
20523,2,E,M,47,59,43,78,29
20524,2,E,F,86,91,74,46,47
20525,2,E,M,59,57,52,64,41
20526,2,E,F,95,40,83,55,39
20527,2,E,F,63,80,55,65,63
20528,2,E,F,58,86,52,32,100
20529,2,E,F,54,86,49,66,80
20530,2,E,F,78,63,66,52,52
20531,2,E,F,87,45,76,80,89
20532,2,E,M,73,33,63,71,35
20533,2,E,M,32,62,29,29,75
20534,2,E,M,96,88,83,29,71
20535,2,E,F,41,80,37,38,59
20536,2,E,F,29,33,26,40,51
20537,2,E,M,95,100,81,95,60
20538,2,E,M,79,55,68,78,31
20539,2,E,M,74,60,66,68,80
20540,2,E,F,58,88,51,92,41
30101,3,A,M,29,38,27,62,47
30102,3,A,F,99,33,85,88,35
30103,3,A,M,38,32,35,54,60
30104,3,A,M,79,93,70,30,25
30105,3,A,M,48,80,41,58,99
30106,3,A,F,70,67,63,95,31
30107,3,A,M,60,62,53,95,75
30108,3,A,F,32,70,27,36,51
30109,3,A,M,82,99,70,68,35
30110,3,A,M,74,99,65,94,28
30111,3,A,F,42,33,38,74,61
30112,3,A,M,43,84,36,57,91
30113,3,A,F,85,72,73,57,64
30114,3,A,F,86,82,75,38,94
30115,3,A,F,54,79,48,87,91
30116,3,A,M,77,78,65,48,42
30117,3,A,M,60,48,54,97,99
30118,3,A,M,94,94,83,30,73
30119,3,A,M,86,74,76,26,30
30120,3,A,F,32,31,30,55,49
30121,3,A,M,59,58,52,95,86
30122,3,A,M,26,32,24,46,45
30123,3,A,M,100,80,87,34,88
30124,3,A,F,33,68,30,98,29
30125,3,A,F,44,77,39,98,44
30126,3,A,F,83,40,72,32,71
30127,3,A,M,86,70,76,51,36
30128,3,A,M,37,96,33,52,64
30129,3,A,F,43,29,39,45,42
30130,3,A,M,51,75,46,97,35
30131,3,A,M,95,42,82,91,70
30132,3,A,M,53,86,47,99,28
30133,3,A,F,65,45,58,30,93
30134,3,A,M,38,58,34,68,83
30135,3,A,M,31,27,29,70,38
30136,3,A,M,68,67,59,29,98
30137,3,A,F,50,35,44,68,40
30138,3,A,M,84,38,73,28,32
30139,3,A,F,56,61,50,92,84
30140,3,A,F,54,33,48,73,30
30201,3,B,M,91,48,78,100,40
30202,3,B,M,72,54,64,69,80
30203,3,B,M,39,86,35,38,70
30204,3,B,F,58,91,51,67,37
30205,3,B,M,64,51,58,45,92
30206,3,B,M,90,52,79,46,91
30207,3,B,F,93,59,80,96,34
30208,3,B,F,74,81,66,63,34
30209,3,B,M,51,74,45,94,32
30210,3,B,F,41,60,38,98,59
30211,3,B,F,66,47,59,59,84
30212,3,B,M,47,51,43,54,47
30213,3,B,M,62,50,55,86,56
30214,3,B,M,32,40,29,43,98
30215,3,B,F,79,49,70,42,52
30216,3,B,M,27,84,26,47,86
30217,3,B,M,25,79,25,56,62
30218,3,B,M,82,97,72,40,94
30219,3,B,M,66,31,59,83,28
30220,3,B,M,65,72,59,52,75
30221,3,B,M,62,95,53,94,71
30222,3,B,F,30,81,26,57,59
30223,3,B,F,71,46,61,63,71
30224,3,B,F,88,96,78,80,37
30225,3,B,F,44,39,40,70,35
30226,3,B,M,70,67,63,57,95
30227,3,B,M,50,87,44,83,36
30228,3,B,F,85,48,74,75,27
30229,3,B,F,86,71,76,39,28
30230,3,B,M,26,77,24,89,47
30231,3,B,F,49,50,44,70,99
30232,3,B,M,63,56,56,58,75
30233,3,B,F,64,26,57,83,54
30234,3,B,F,91,35,78,54,60
30235,3,B,F,91,47,77,25,30
30236,3,B,F,54,37,47,52,66
30237,3,B,M,45,41,40,68,73
30238,3,B,M,47,73,41,86,52
30239,3,B,F,36,61,32,98,95
30240,3,B,F,63,62,56,41,89
30301,3,C,M,93,68,81,62,40
30302,3,C,M,80,62,69,46,36
30303,3,C,F,32,44,29,74,74
30304,3,C,M,50,40,45,95,57
30305,3,C,M,52,55,47,94,59
30306,3,C,M,25,57,24,87,99
30307,3,C,F,74,59,64,97,63
30308,3,C,F,26,75,25,41,90
30309,3,C,M,40,44,37,61,49
30310,3,C,F,29,84,28,91,41
30311,3,C,F,88,96,75,80,91
30312,3,C,M,79,45,66,58,63
30313,3,C,F,93,99,81,47,91
30314,3,C,M,65,89,59,52,84
30315,3,C,F,36,34,34,83,25
30316,3,C,M,52,69,44,42,52
30317,3,C,M,64,66,55,76,28
30318,3,C,F,71,57,62,80,71
30319,3,C,F,81,71,70,82,85
30320,3,C,M,25,97,23,29,40
30321,3,C,M,76,33,66,75,67
30322,3,C,M,85,30,75,25,75
30323,3,C,M,53,36,47,87,82
30324,3,C,M,27,89,24,32,25
30325,3,C,F,87,39,77,59,99
30326,3,C,F,93,92,81,41,80
30327,3,C,F,82,100,72,25,25
30328,3,C,M,90,64,78,91,88
30329,3,C,M,30,79,28,67,25
30330,3,C,M,66,66,56,30,49
30331,3,C,M,62,54,54,99,56
30332,3,C,F,69,71,60,37,45
30333,3,C,F,48,71,45,57,29
30334,3,C,F,45,85,40,62,70
30335,3,C,M,85,42,77,55,67
30336,3,C,M,28,35,26,82,47
30337,3,C,M,55,91,48,77,74
30338,3,C,M,56,57,49,57,35
30339,3,C,F,51,99,46,97,92
30340,3,C,M,91,73,81,95,71
30401,3,D,F,59,26,53,71,83
30402,3,D,F,34,41,31,74,75
30403,3,D,M,89,56,77,59,86
30404,3,D,M,89,88,77,35,100
30405,3,D,M,29,64,27,60,38
30406,3,D,M,46,38,42,36,96
30407,3,D,F,97,99,85,44,76
30408,3,D,F,47,31,42,88,35
30409,3,D,F,28,62,28,41,88
30410,3,D,M,56,76,50,28,77
30411,3,D,F,63,83,56,77,36
30412,3,D,M,58,46,52,87,50
30413,3,D,M,71,36,62,52,53
30414,3,D,M,37,76,33,100,62
30415,3,D,M,98,86,84,27,63
30416,3,D,M,90,77,77,29,87
30417,3,D,M,87,53,75,46,39
30418,3,D,F,90,70,78,86,66
30419,3,D,M,66,73,58,84,99
30420,3,D,M,75,49,65,31,52
30421,3,D,M,52,92,45,25,36
30422,3,D,F,61,77,53,31,41
30423,3,D,F,98,75,85,98,69
30424,3,D,F,65,78,57,92,53
30425,3,D,M,58,75,54,32,53
30426,3,D,F,100,72,86,87,57
30427,3,D,F,73,87,65,79,73
30428,3,D,M,100,100,100,97,80
30429,3,D,M,85,62,74,76,31
30430,3,D,F,73,43,64,54,95
30431,3,D,M,52,69,48,61,54
30432,3,D,F,48,91,42,47,100
30433,3,D,F,39,92,36,38,76
30434,3,D,F,46,31,42,69,76
30435,3,D,M,99,51,85,65,63
30436,3,D,M,43,29,40,42,62
30437,3,D,F,38,71,34,77,52
30438,3,D,M,84,50,73,77,74
30439,3,D,M,53,40,48,72,32
30440,3,D,M,66,30,59,74,52
30501,3,E,M,57,47,50,81,30
30502,3,E,M,47,37,42,89,87
30503,3,E,M,89,55,78,76,63
30504,3,E,M,96,56,83,79,41
30505,3,E,M,82,59,71,86,87
30506,3,E,F,64,81,56,56,74
30507,3,E,M,69,75,60,76,71
30508,3,E,F,50,66,44,34,74
30509,3,E,F,27,74,24,69,73
30510,3,E,M,85,93,74,53,35
30511,3,E,F,53,36,47,34,27
30512,3,E,M,47,75,43,60,73
30513,3,E,M,48,65,45,38,65
30514,3,E,F,47,53,42,77,45
30515,3,E,F,39,72,33,95,95
30516,3,E,M,80,86,70,77,64
30517,3,E,F,85,64,75,68,48
30518,3,E,F,70,89,60,39,46
30519,3,E,M,70,41,61,28,50
30520,3,E,F,73,83,64,93,70
30521,3,E,M,83,26,72,29,77
30522,3,E,F,100,56,87,73,55
30523,3,E,F,41,99,39,59,33
30524,3,E,M,44,58,39,67,88
30525,3,E,M,59,51,51,86,75
30526,3,E,F,78,51,70,47,25
30527,3,E,M,31,29,29,55,83
30528,3,E,F,89,35,76,39,72
30529,3,E,M,39,45,37,82,43
30530,3,E,F,80,41,71,98,62
30531,3,E,F,70,66,62,73,97
30532,3,E,M,34,99,31,81,75
30533,3,E,M,36,52,32,58,35
30534,3,E,F,62,36,53,47,97
30535,3,E,F,88,37,76,65,77
30536,3,E,M,96,95,82,38,78
30537,3,E,F,66,79,57,97,43
30538,3,E,M,99,95,97,29,36
30539,3,E,M,51,67,46,91,55
30540,3,E,M,76,29,67,91,66
